CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0137,0.9999729994634539
C0001,C0152,0.9999449990920946
C0001,C0107,0.9959403461622396
C0001,C0191,0.9930111406740214
C0001,C0190,0.9924218640408141
C0002,C0043,0.9928719995078378
C0002,C0142,0.9808733720413275
C0002,C0097,0.9755037432206868
C0002,C0128,0.9600949132470071
C0002,C0056,0.9458428334265486
C0003,C0133,0.9981018110412249
C0003,C0052,0.9958689512877908
C0003,C0035,0.9899568503670503
C0003,C0125,0.9898408382554336
C0003,C0137,0.9826864516369194
C0004,C0122,0.9931584635556708
C0004,C0113,0.9928924851347292
C0004,C0108,0.9891312117196001
C0004,C0102,0.9871231371060949
C0004,C0012,0.987067191422267
C0005,C0178,0.9990813407657672
C0005,C0159,0.9989277207729343
C0005,C0123,0.997904546931205
C0005,C0146,0.9661896583485635
C0005,C0027,0.9633209468246186
C0006,C0117,0.9923452974836535
C0006,C0026,0.9890203391762727
C0006,C0158,0.9857395534812858
C0006,C0079,0.9808765181547574
C0006,C0064,0.9808484941491431
C0007,C0140,0.9978130376911359
C0007,C0092,0.9926503090011997
C0007,C0193,0.9911395081011375
C0007,C0080,0.9895322455972376
C0007,C0078,0.9877861310377472
C0008,C0109,0.9753179974656974
C0008,C0124,0.9746156132052946
C0008,C0139,0.9685687323964208
C0008,C0017,0.95917082515833
C0008,C0098,0.9466350763602808
C0009,C0033,0.9833893556829301
C0009,C0060,0.9818423255580482
C0009,C0010,0.9807961382416004
C0009,C0121,0.9798524547998505
C0009,C0014,0.9615398807230747
C0010,C0199,0.9923026397421746
C0010,C0094,0.9813598680622747
C0010,C0009,0.9807961382416004
C0010,C0033,0.9759926173932186
C0010,C0121,0.9758346484079299
C0011,C0107,0.9993766483652471
C0011,C0048,0.9992014858600415
C0011,C0183,0.9944456373187336
C0011,C0152,0.993399372318149
C0011,C0016,0.9931527189645073
C0012,C0155,0.9993965770367459
C0012,C0108,0.9956252545184631
C0012,C0122,0.9889867854487815
C0012,C0004,0.987067191422267
C0012,C0153,0.985895335029217
C0013,C0087,0.9928236319390793
C0013,C0057,0.9909503642176154
C0013,C0046,0.9903653513139031
C0013,C0155,0.9903420307593693
C0013,C0104,0.9898346648394676
C0014,C0198,0.9889759898914687
C0014,C0060,0.9756975141606178
C0014,C0033,0.9673850715199829
C0014,C0009,0.9615398807230747
C0014,C0062,0.9552508669407361
C0015,C0150,0.9959807260771939
C0015,C0130,0.9944474050092075
C0015,C0144,0.9934987578898152
C0015,C0197,0.988691242516972
C0015,C0132,0.9881321227018021
C0016,C0183,0.999932163422891
C0016,C0048,0.9970259065167064
C0016,C0011,0.9931527189645073
C0016,C0107,0.9884106597685206
C0016,C0187,0.9871365631422239
C0017,C0109,0.9969467355079632
C0017,C0124,0.9795659241713705
C0017,C0075,0.9692050858710901
C0017,C0008,0.95917082515833
C0017,C0156,0.9570974531822126
C0018,C0148,0.9999951381819256
C0018,C0064,0.9985439894622185
C0018,C0171,0.9972916041524229
C0018,C0037,0.9959376915287504
C0018,C0096,0.9914835302962302
C0019,C0172,0.9999897107239059
C0019,C0111,0.9660184815998832
C0019,C0119,0.9535765014314451
C0019,C0103,0.9441377797371862
C0019,C0049,0.9409747148942362
C0020,C0167,0.9948947044040063
C0020,C0061,0.9700031873389273
C0020,C0073,0.9498221771464702
C0020,C0042,0.934586029373803
C0020,C0176,0.9319176400024615
C0021,C0101,0.9987114672112681
C0021,C0175,0.9935641119678098
C0021,C0145,0.9915395572043094
C0021,C0173,0.9898352031751857
C0021,C0093,0.971799921915726
C0022,C0143,0.9992939666799764
C0022,C0045,0.9992710122655879
C0022,C0054,0.9956485705489785
C0022,C0028,0.9888158994073004
C0022,C0141,0.9714431279574387
C0023,C0053,0.9983246166843299
C0023,C0100,0.9979276134948708
C0023,C0082,0.9914152895697748
C0023,C0105,0.9875980996052207
C0023,C0059,0.9700493586891172
C0024,C0081,0.9990492580984307
C0024,C0179,0.9985043912546432
C0024,C0194,0.9964057647697668
C0024,C0184,0.9896584512550333
C0024,C0139,0.9850365028928001
C0025,C0029,0.9923193909180189
C0025,C0031,0.9907390619313335
C0025,C0069,0.9904077826047483
C0025,C0030,0.9881164469334519
C0025,C0192,0.9872736663415256
C0026,C0158,0.9951509014183737
C0026,C0006,0.9890203391762727
C0026,C0117,0.9764663826645439
C0026,C0085,0.9724338585962098
C0026,C0135,0.9659338864308145
C0027,C0146,0.9999405146299005
C0027,C0186,0.9993231526912906
C0027,C0177,0.9975829492189815
C0027,C0178,0.9738299127203828
C0027,C0005,0.9633209468246186
C0028,C0045,0.991353032798701
C0028,C0143,0.9905774593424828
C0028,C0022,0.9888158994073004
C0028,C0136,0.9855569249490925
C0028,C0054,0.9812069360761752
C0029,C0077,0.9976220445691095
C0029,C0032,0.9943627925843361
C0029,C0083,0.9935138374219864
C0029,C0025,0.9923193909180189
C0029,C0071,0.9841395724690999
C0030,C0189,0.999210778036644
C0030,C0038,0.99800877800587
C0030,C0076,0.9977947354298072
